"Name: Green (Little Green)"
"ID: 13004101"
"Ice Out Date","Source"
"1980-04-18","MNPCA"
"1981-03-30","MNPCA"
"1982-04-18","MNPCA"
"1983-04-18","MNPCA"
"1984-04-12","MNPCA"
"1985-04-11","MNPCA"
"1986-04-12","MNPCA"
"1988-04-07","MNPCA"
"1989-04-18","MNPCA"
"1990-04-05","MNPCA"
"1991-04-05","MNPCA"
"1992-04-06","MNPCA"
"1993-04-16","MNPCA"
"1994-04-07","MNPCA"
"1995-04-06","MNPCA"
"1996-04-24","MNPCA"
"1997-04-15","MNPCA"
"1998-03-30","MNPCA"
"1999-03-31","MNPCA"
"2000-03-22","MNPCA"
"2001-04-18","MNPCA"
"2002-04-16","MNPCA"
"2003-04-11","MNPCA"
"2004-04-07","MNPCA"
"2005-04-06","MNPCA"
"2007-04-01","MNPCA"
"2008-04-22","MNPCA"
"2015-03-31","MNDNR-SCO"
"2018-05-01","MNPCA"
"2019-04-15","MNDNR-SCO"
"2019-04-16","MNPCA"
"2020-03-31","MNDNR-SCO"
"2020-04-01","MNPCA"
"2022-04-17","MNDNR-SCO"
