"Name: Harriet"
"ID: 27001600"
"Ice Out Date","Source"
"1959-04-07","MNDNR-SCO"
"1959-04-07","MNPCA"
"1960-04-13","MNPCA"
"1960-04-13","MNDNR-SCO"
"1963-04-13","MNPCA"
"1963-04-13","MNDNR-SCO"
"1965-04-28","MNDNR-SCO"
"1965-04-28","MNPCA"
"1966-04-01","MNPCA"
"1966-04-01","MNDNR-SCO"
"1967-04-05","MNDNR-SCO"
"1967-04-05","MNPCA"
"1968-03-30","MNPCA"
"1968-03-30","MNDNR-SCO"
"1969-04-12","MNPCA"
"1969-04-12","MNDNR-SCO"
"1970-04-14","MNPCA"
"1970-04-14","MNDNR-SCO"
"1971-04-16","MNPCA"
"1971-04-16","MNDNR-SCO"
"1972-04-20","MNPCA"
"1972-04-20","MNDNR-SCO"
"1976-04-03","MNDNR-SCO"
"1976-04-03","MNPCA"
"1977-03-27","MNPCA"
"1977-03-27","MNDNR-SCO"
"1979-04-20","MNDNR-SCO"
"1980-04-15","MNPCA"
"1980-04-15","MNDNR-SCO"
"1981-03-26","MNDNR-SCO"
"1981-03-27","MNPCA"
"1982-04-17","MNDNR-SCO"
"1982-04-17","MNPCA"
"1983-04-12","MNDNR-SCO"
"1983-04-12","MNDNR-LAKESDB"
"1983-04-12","MNPCA"
"1984-04-09","MNDNR-SCO"
"1984-04-10","MNPCA"
"1985-04-08","MNPCA"
"1985-04-08","MNDNR-SCO"
"1987-03-21","MNPCA"
"1987-03-21","MNDNR-SCO"
"1988-04-04","MNPCA"
"1988-04-04","MNDNR-SCO"
"1989-04-15","MNPCA"
"1989-04-15","MNDNR-SCO"
"1990-04-01","MNPCA"
"1990-04-02","MNDNR-SCO"
"1991-04-05","MNPCA"
"1991-04-05","MNDNR-SCO"
"1992-04-07","MNDNR-SCO"
"1992-04-08","MNPCA"
"1993-04-06","MNDNR-SCO"
"1993-04-16","MNPCA"
"1994-03-25","MNDNR-SCO"
"1995-03-25","MNPCA"
"1995-04-06","MNPCA"
"1995-04-20","MNDNR-SCO"
"1996-04-20","MNDNR-SCO"
"1996-04-20","MNPCA"
"1997-04-14","MNPCA"
"1997-04-14","MNDNR-SCO"
"1998-03-29","MNDNR-SCO"
"1998-03-29","MNPCA"
"1999-04-01","MNDNR-SCO"
"1999-04-01","MNPCA"
"2000-03-09","MNDNR-SCO"
"2000-03-09","MNPCA"
"2001-04-15","MNPCA"
"2001-04-15","MNDNR-SCO"
"2002-04-14","MNDNR-SCO"
"2002-04-14","MNPCA"
"2003-04-03","MNDNR-SCO"
"2003-04-03","MNPCA"
"2004-04-03","MNPCA"
"2004-04-03","MNPCA"
"2005-04-06","MNDNR-SCO"
"2005-04-06","MNPCA"
"2005-04-06","MNPCA"
"2006-04-07","MNPCA"
"2006-04-07","MNDNR-SCO"
"2007-03-28","MNDNR-SCO"
"2007-03-28","MNPCA"
"2008-04-20","MNPCA"
"2008-04-20","MNPCA"
"2010-03-31","MNDNR-SCO"
"2011-04-10","MNDNR-SCO"
"2012-03-18","MNDNR-SCO"
"2013-04-28","MNDNR-SCO"
"2014-04-20","MNDNR-SCO"
"2015-04-02","MNDNR-SCO"
"2015-04-02","MNPCA"
"2016-03-15","MNPCA"
"2016-03-15","MNDNR-SCO"
"2017-03-07","MNDNR-SCO"
"2017-03-17","MNPCA"
"2018-05-01","MNPCA"
"2018-05-02","MNDNR-SCO"
"2019-04-09","MNDNR-SCO"
"2019-04-10","MNPCA"
"2020-03-29","MNDNR-SCO"
"2020-03-29","MNPCA"
"2021-03-24","MNDNR-SCO"
"2022-04-11","MNPCA"
